network,country,state,region,location,lat,lon,spread,start,end,cause
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΛΑΤΑΝΙΣΤΑΣΑ ,35.00606952159291,33.06360901911592,0.3633,2013-04-16 10:50:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΜΠΟΣ ,35.061835633275045,32.75893544949047,0.003,2013-04-16 15:05:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΑ ΜΑΡΙΝΑ ΞΥΛΙΑΤΟΥ,35.04720397761255,33.050669291062434,0.5202,2013-04-30 13:00:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΤΣΙΑΤΗΣ ,35.04265624303401,33.36083753386647,0.8,2013-05-03 15:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΚΑΥΚΑΛΛΟΥ,35.05450960367924,33.00093210851992,0.0954,2013-05-06 14:50:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΝΑΟΡΟΣ ,35.010275805543856,32.90200597899516,0.6,2013-05-06 15:15:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.9166381331702,33.39830593411784,0.2,2013-05-07 15:10:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΥΠΕΡΟΥΝΤΑ ,34.92979627973832,32.978243618083305,0.05,2013-05-09 01:15:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΠΕΔΕΣ ,34.986591722971454,33.26824693750058,1.0,2013-05-23 10:45:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΦΛΑΣΟΥ,35.0663744153243,32.9160103656292,0.4,2013-05-24 15:30:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.96279415907328,33.31363817001909,0.8,2013-05-28 02:00:00,,Άγνωστη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.929162403483886,32.615374776984815,0.002,2013-05-28 12:10:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.140340796132776,33.386900319230456,0.589,2013-05-30 14:05:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.943859382073164,33.37059971136712,0.2,2013-05-30 09:45:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΟΥΡΟΥΚΙΝΑ,35.001510470707665,33.49391581962343,15.7,2013-06-01 18:55:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΜΟΝΙΑΤΗΣ,34.868124981762534,32.91603738998767,0.03,2013-06-03 14:00:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΟΙΛΑΝΙ ,34.856367506796495,32.8515712426868,0.1,2013-06-12 12:00:00,,Δραστηριότητες κυνηγών
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΑΝΩ ΠΥΡΓΟΣ  ,35.1701515130226,32.67444345707903,34.7,2013-06-14 15:23:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΜΟΣΦΙΛΩΤΗ ,34.972443647489136,33.42332309302254,0.5,2013-06-17 13:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.896167393263205,33.398612051921226,0.04,2013-06-17 08:15:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΛΕΜΕΣΟΣ ,34.71516741608232,33.00989442312903,0.115,2013-06-18 16:50:00,,Άγνωστη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΜΑΡΩΝΙ ,34.75436082598775,33.34703575925074,5.6,2013-06-18 08:00:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΧΟΙΡΟΚOΙΤΙΑ ,34.79307837140909,33.3729626881491,0.5,2013-06-19 10:30:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΙΤΣΕΡΟ,35.017200133649666,33.119310450595485,6.5,2013-06-24 14:55:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ,35.05879739199959,32.45756402825602,0.0059,2013-06-25 16:10:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΙΤΣΕΡΟ,35.01598282809475,33.1192648392542,0.4,2013-06-26 11:20:00,,Άγνωστη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΛΑΥΔΙΑ ,34.89560371924495,33.546001499470684,10.3,2013-07-01 15:10:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΥΡΓΟΣ ,34.727857190155866,33.1866791601037,6.7,2013-07-10 13:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.96333734077707,33.329851807683376,3.0,2013-07-23 16:50:00,,Άγνωστη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΑΝΩ ΛΕΥΚΑΡΑ,34.89565686812641,33.33138691691857,0.4,2013-07-24 12:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΓΙΑ ΑΝΝΑ ,34.940403785623225,33.49292497168117,0.7,2013-07-27 12:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΑΚΑΠΝΟΥ,34.84000576462506,33.17807266452355,3.0,2013-07-31 13:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.921817731217054,33.28474303288606,4.5,2013-08-04 20:15:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΑΛΑΙΧΩΡΙ ΟΡΕΙΝΗΣ ,34.97517964776676,33.10887472604886,1.08,2013-08-14 12:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΜΑΜΩΝΙΑ ,34.76623364771692,32.64239123314827,4.8,2013-08-16 21:40:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΣΟΛΕΑΣ,35.05791233786245,32.87941308367888,0.5,2013-08-16 12:50:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.001397257239525,32.50707114835927,2.955,2013-08-17 00:30:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.00060452014252,32.505048553197234,0.374,2013-08-17 00:30:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΡΓΑΚΑ ,35.05937969711266,32.481434187328496,0.727,2013-08-22 16:21:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΡΑΚΟΥ,35.03467332774876,32.87815355831163,0.1,2013-09-01 17:10:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΑΖΑΝΙΑΣ,34.949728777665115,33.17387404132497,12.93,2013-09-08 14:00:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΥΡΓΟΣ ,34.72669079919862,33.17032556537439,1.7,2013-09-08 11:15:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.95311663695782,32.3597894006273,3.15,2013-09-16 16:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΟΥΚΛΙΑ ,34.68576904058401,32.62184233709983,0.1,2013-09-24 14:20:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ,35.07909158041877,32.85268274929404,3.0,2013-10-09 10:30:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.94457822698733,33.3714352405049,0.2,2013-10-14 11:30:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΒΔΕΛΛΕΡΟ ,35.00517578994458,33.55155056276772,4.2,2013-10-17 14:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.9045351269411,32.397612218040145,2.25,2013-10-17 11:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94304777883606,32.37781618420957,1.33,2013-10-19 14:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.97898390398458,32.34228915158948,0.72,2013-10-19 18:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.957591262129434,32.36706013745421,0.71,2013-10-20 14:15:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.97507434370763,32.33969117631326,0.24,2013-10-22 15:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΟΥΚΛΙΑ ,34.692395432221275,32.58793391858081,0.3,2013-10-26 15:05:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.95174672364861,32.36853978476146,1.12,2013-10-28 15:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94721383079442,32.37431310171323,0.71,2013-10-28 16:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.944757746357354,32.38069436477303,2.12,2013-11-01 16:05:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΑΡΟΔΕΣ ,34.91781295079173,32.38051366946836,5.73,2013-11-01 12:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.945563540837945,32.36559751044563,0.7,2013-11-03 13:10:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.95467899137109,32.32849713725555,0.88,2013-11-03 10:15:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.948317952965176,32.66819323643389,0.002,2013-11-05 11:45:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΜΠΕΛΙΚΟΥ,35.080916330697306,32.7985120906117,0.03,2013-11-06 11:00:00,,Φυσική (κεραυνός)
